index,iso3,date,co2
2762,IBD,1970-01-01 00:00:00,2.11117358353546
2763,IBT,1970-01-01 00:00:00,1.81453797165824
2764,IDA,1970-01-01 00:00:00,0.434957579768109
2765,IDB,1970-01-01 00:00:00,0.922447040226365
2766,IDN,1970-01-01 00:00:00,0.268854740785505
2767,IDX,1970-01-01 00:00:00,0.216777555264211
2769,IND,1970-01-01 00:00:00,0.383761077536929
2771,IRL,1970-01-01 00:00:00,6.9813509172373
2772,IRN,1970-01-01 00:00:00,2.79423635499911
2773,IRQ,1970-01-01 00:00:00,2.35943138082875
2774,ISL,1970-01-01 00:00:00,9.4644831195766
2775,ISR,1970-01-01 00:00:00,5.01126429051782
2776,ITA,1970-01-01 00:00:00,5.80301680451341
2777,JAM,1970-01-01 00:00:00,4.33001934816531
2778,JOR,1970-01-01 00:00:00,1.76039923615008
2779,JPN,1970-01-01 00:00:00,8.20663810527741
2780,KAZ,1970-01-01 00:00:00,10.4942518755139
2781,KEN,1970-01-01 00:00:00,0.326799578875328
2782,KGZ,1970-01-01 00:00:00,3.9915537687084
2783,KHM,1970-01-01 00:00:00,0.0317804584465289
2784,KIR,1970-01-01 00:00:00,0.327315145289622
2785,KNA,1970-01-01 00:00:00,0.326899128268991
2786,KOR,1970-01-01 00:00:00,1.92370995942505
2787,KWT,1970-01-01 00:00:00,47.719442043085
2788,LAC,1970-01-01 00:00:00,1.61024803367509
2789,LAO,1970-01-01 00:00:00,0.107764300075917
2790,LBN,1970-01-01 00:00:00,2.2804267880767
2791,LBR,1970-01-01 00:00:00,0.663722709579294
2792,LBY,1970-01-01 00:00:00,20.5822718375509
2793,LCA,1970-01-01 00:00:00,0.286157726258609
2794,LCN,1970-01-01 00:00:00,1.89695436535921
2795,LDC,1970-01-01 00:00:00,0.151127387132376
2796,LIC,1970-01-01 00:00:00,0.598213042274259
2798,LKA,1970-01-01 00:00:00,0.251824858466568
2799,LMC,1970-01-01 00:00:00,0.479879543343595
2800,LMY,1970-01-01 00:00:00,1.21846954188702
2801,LSO,1970-01-01 00:00:00,0.0719114473058122
2802,LTE,1970-01-01 00:00:00,2.67055440430947
2803,LTU,1970-01-01 00:00:00,6.08541164427432
2804,LUX,1970-01-01 00:00:00,54.2077595077409
2805,LVA,1970-01-01 00:00:00,5.3366361982465
2806,MAC,1970-01-01 00:00:00,1.22854693388978
2808,MAR,1970-01-01 00:00:00,0.454088032938355
2810,MDA,1970-01-01 00:00:00,6.82320556691311
2811,MDG,1970-01-01 00:00:00,0.11572723133744
2812,MDV,1970-01-01 00:00:00,0.080329105912709
2813,MEA,1970-01-01 00:00:00,2.60986405597031
2814,MEX,1970-01-01 00:00:00,2.40418907351794
2815,MHL,1970-01-01 00:00:00,0.0
2816,MIC,1970-01-01 00:00:00,1.26111858427073
2817,MKD,1970-01-01 00:00:00,5.49746104348005
2818,MLI,1970-01-01 00:00:00,0.0401391903616541
2819,MLT,1970-01-01 00:00:00,2.25640178423922
2820,MMR,1970-01-01 00:00:00,0.17330232334481
2821,MNA,1970-01-01 00:00:00,1.69754030430055
2823,MNG,1970-01-01 00:00:00,4.31315114230068
2824,MNP,1970-01-01 00:00:00,0.0
2825,MOZ,1970-01-01 00:00:00,0.375454308986699
2826,MRT,1970-01-01 00:00:00,0.296917299799144
2827,MUS,1970-01-01 00:00:00,0.370096852300242
2828,MWI,1970-01-01 00:00:00,0.0747220463116692
2829,MYS,1970-01-01 00:00:00,1.33002370929126
2830,NAC,1970-01-01 00:00:00,21.8684411586753
2831,NAM,1970-01-01 00:00:00,0.980692329816944
2832,NCL,1970-01-01 00:00:00,9.35178571428571
2833,NER,1970-01-01 00:00:00,0.0450777650337023
2834,NGA,1970-01-01 00:00:00,0.519011732816904
2835,NIC,1970-01-01 00:00:00,0.676874319720448
2836,NLD,1970-01-01 00:00:00,10.2843143465757
2837,NOR,1970-01-01 00:00:00,9.27159374812134
2838,NPL,1970-01-01 00:00:00,0.0224856884712252
