year,id,price
2006,UKH,0.75
2006,UKF,0.75
2006,UKG,0.75
2006,UKE,0.79000002
2006,UKD,0.77999997
2006,UKC,0.70999998
2006,UKL,0.72000003
2006,UKM,0.79000002
2006,UKN,0.81999999
2007,UKI,0.88
2007,UKJ,0.88
2007,UKK,0.88
2007,UKH,0.77999997
2007,UKF,0.77999997
2007,UKG,0.88
2007,UKE,0.875
2007,UKD,0.85000002
2007,UKC,0.81
2007,UKL,0.75
2007,UKM,0.88999999
2007,UKN,0.81999999
2008,UKI,1.09
2008,UKJ,1.0599999
2008,UKK,1.08
2008,UKH,1.05499995
2008,UKF,1.05
2008,UKG,1.04
2008,UKE,1.05
2008,UKD,1.15
2008,UKC,1.04
2008,UKL,0.94
2008,UKM,1.08
2008,UKN,0.96000001
2009,UKI,1.03
2009,UKJ,1.05
2009,UKK,1.0
2009,UKH,1.0
2009,UKF,0.98000002
2009,UKG,0.98000002
2009,UKE,1.03
2009,UKD,1.25
2009,UKC,0.97000003
2009,UKL,0.94999999
2009,UKM,0.98000002
2009,UKN,0.98000002
2010,UKI,1.15
2010,UKJ,1.2
2010,UKK,1.15
2010,UKH,1.1900001
2010,UKF,1.15
2010,UKG,1.2
2010,UKE,1.15
2010,UKD,1.15
2010,UKC,1.1
2010,UKL,1.1
2010,UKM,1.15
2010,UKN,1.1
2011,UKI,1.35
2011,UKJ,1.38
2011,UKK,1.35
2011,UKH,1.36
2011,UKF,1.36
2011,UKG,1.36
2011,UKE,1.3
2011,UKD,1.36
2011,UKC,1.3
2011,UKL,1.3
2011,UKM,1.24
2011,UKN,1.2
2012,UKI,1.45
2012,UKJ,1.43999995
2012,UKK,1.39
2012,UKH,1.45
2012,UKF,1.45
2012,UKG,1.49
2012,UKE,1.4249999999999998
2012,UKD,1.4
2012,UKC,1.39
2012,UKL,1.39
2012,UKM,1.3200001
2012,UKN,1.27
2013,UKI,1.45
2013,UKJ,1.5
2013,UKK,1.49
2013,UKH,1.5
2013,UKF,1.5
2013,UKG,1.5
2013,UKE,1.45
2013,UKD,1.45
2013,UKC,1.475
2013,UKL,1.5
2013,UKM,1.3200001
2013,UKN,1.25
